model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
bilstm,256,1,"[1024, 512, 128]",0.1,0.001,0.6275,5.3647,1.5784
bilstm,256,1,"[1024, 512, 128]",0.1,0.0001,0.5479,5.0941,1.8137
bilstm,256,1,"[1024, 512, 128]",0.2,0.001,0.8193,5.473,1.6546
bilstm,256,1,"[1024, 512, 128]",0.2,0.0001,0.5867,4.9596,1.6857
bilstm,256,1,"[256, 64]",0.1,0.001,0.4842,5.5626,1.6955
bilstm,256,1,"[256, 64]",0.1,0.0001,0.6099,4.9852,1.6815
bilstm,256,1,"[256, 64]",0.2,0.001,0.8794,5.3705,1.7241
bilstm,256,1,"[256, 64]",0.2,0.0001,0.7955,4.8774,1.6195
bilstm,256,2,"[512, 128]",0.1,0.001,0.6574,5.5529,1.5847
bilstm,256,2,"[512, 128]",0.1,0.0001,0.5578,4.7708,1.5917
bilstm,256,2,"[512, 128]",0.2,0.001,0.5855,5.0429,1.6546
bilstm,256,2,"[512, 128]",0.2,0.0001,0.6416,5.0307,1.7383
bilstm,256,2,"[1024, 512, 128]",0.1,0.001,0.683,6.2668,1.6179
bilstm,256,2,"[1024, 512, 128]",0.1,0.0001,0.5893,4.7173,1.603
bilstm,256,2,"[1024, 512, 128]",0.2,0.001,0.7057,5.1954,1.6521
bilstm,256,2,"[1024, 512, 128]",0.2,0.0001,0.7582,5.1338,1.7045
bilstm,256,2,"[256, 64]",0.1,0.001,0.5291,5.4265,1.5985
bilstm,256,2,"[256, 64]",0.1,0.0001,0.5588,4.8301,1.6815
bilstm,256,2,"[256, 64]",0.2,0.001,0.6294,5.6393,1.696
bilstm,256,2,"[256, 64]",0.2,0.0001,0.7201,5.2149,1.6761
gru,64,1,"[512, 128]",0.1,0.001,0.5157,5.1212,1.7336
gru,64,1,"[512, 128]",0.1,0.0001,0.7401,4.8208,1.6921
gru,64,1,"[512, 128]",0.2,0.001,0.5642,5.0534,1.7778
gru,64,1,"[512, 128]",0.2,0.0001,0.6498,4.7343,1.6024
gru,64,1,"[1024, 512, 128]",0.1,0.001,0.5469,4.9617,1.6722
gru,64,1,"[1024, 512, 128]",0.1,0.0001,0.5452,5.1214,1.7292
gru,64,1,"[1024, 512, 128]",0.2,0.001,0.5506,5.2279,1.8837
gru,64,1,"[1024, 512, 128]",0.2,0.0001,0.8134,5.0662,1.9233
gru,64,1,"[256, 64]",0.1,0.001,0.674,5.4254,1.7214
gru,64,1,"[256, 64]",0.1,0.0001,0.8717,4.7322,1.5981
gru,64,1,"[256, 64]",0.2,0.001,0.6673,5.0283,1.6752
gru,64,1,"[256, 64]",0.2,0.0001,1.1057,4.469,1.5928
gru,64,2,"[512, 128]",0.1,0.001,0.4974,5.612,1.6878
gru,64,2,"[512, 128]",0.1,0.0001,0.643,4.6516,1.6451
gru,64,2,"[512, 128]",0.2,0.001,0.5181,5.3744,1.633
gru,64,2,"[512, 128]",0.2,0.0001,0.72,4.7527,1.6613
gru,64,2,"[1024, 512, 128]",0.1,0.001,0.5482,5.4299,1.6846
gru,64,2,"[1024, 512, 128]",0.1,0.0001,0.641,5.3925,1.7314
gru,64,2,"[1024, 512, 128]",0.2,0.001,0.6174,5.3486,1.6867
gru,64,2,"[1024, 512, 128]",0.2,0.0001,0.5409,4.9349,1.7309
gru,64,2,"[256, 64]",0.1,0.001,0.5279,5.7522,1.853
gru,64,2,"[256, 64]",0.1,0.0001,0.7614,4.6358,1.688
gru,64,2,"[256, 64]",0.2,0.001,0.7063,5.7995,1.84
