model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
bilstm,256,2,"[1024, 512, 128]",0.2,0.001,0.8477,4.9095,1.5434
bilstm,256,2,"[1024, 512, 128]",0.2,0.0001,0.5434,4.8187,1.7077
bilstm,256,2,"[256, 64]",0.1,0.001,0.9248,5.4036,1.5173
bilstm,256,2,"[256, 64]",0.1,0.0001,0.5771,5.013,1.7139
bilstm,256,2,"[256, 64]",0.2,0.001,0.6902,4.9268,1.5648
bilstm,256,2,"[256, 64]",0.2,0.0001,0.7397,4.8685,1.6221
gru,64,1,"[512, 128]",0.1,0.001,0.4697,4.8865,1.6667
gru,64,1,"[512, 128]",0.1,0.0001,0.5766,4.9021,1.7339
gru,64,1,"[512, 128]",0.2,0.001,0.892,5.244,1.5946
gru,64,1,"[512, 128]",0.2,0.0001,0.7786,4.5044,1.6065
gru,64,1,"[1024, 512, 128]",0.1,0.001,0.6195,5.6619,1.8419
gru,64,1,"[1024, 512, 128]",0.1,0.0001,0.5689,5.0106,1.8617
gru,64,1,"[1024, 512, 128]",0.2,0.001,0.7676,5.0086,1.7587
gru,64,1,"[1024, 512, 128]",0.2,0.0001,0.5916,4.6983,1.6164
gru,64,1,"[256, 64]",0.1,0.001,0.4788,5.7875,1.6789
gru,64,1,"[256, 64]",0.1,0.0001,0.8452,4.57,1.533
gru,64,1,"[256, 64]",0.2,0.001,0.638,5.051,1.6084
gru,64,1,"[256, 64]",0.2,0.0001,1.3036,4.4375,1.5739
gru,64,2,"[512, 128]",0.1,0.001,0.5553,5.0463,1.574
gru,64,2,"[512, 128]",0.1,0.0001,0.5772,4.2745,1.6102
gru,64,2,"[512, 128]",0.2,0.001,0.5843,5.1968,1.6768
gru,64,2,"[512, 128]",0.2,0.0001,0.6524,4.9283,1.699
gru,64,2,"[1024, 512, 128]",0.1,0.001,0.5243,5.3592,1.7353
gru,64,2,"[1024, 512, 128]",0.1,0.0001,0.5295,4.8266,1.5629
gru,64,2,"[1024, 512, 128]",0.2,0.001,0.5704,4.8985,1.6924
gru,64,2,"[1024, 512, 128]",0.2,0.0001,0.6483,4.8831,1.6787
gru,64,2,"[256, 64]",0.1,0.001,0.4371,5.0651,1.7467
gru,64,2,"[256, 64]",0.1,0.0001,0.6838,4.6474,1.6865
gru,64,2,"[256, 64]",0.2,0.001,0.7627,5.2334,1.696
gru,64,2,"[256, 64]",0.2,0.0001,0.9149,4.522,1.5542
gru,128,1,"[512, 128]",0.1,0.001,0.5455,4.8067,1.6084
gru,128,1,"[512, 128]",0.1,0.0001,0.5204,4.7324,1.6771
gru,128,1,"[512, 128]",0.2,0.001,0.6075,5.4185,1.6692
gru,128,1,"[512, 128]",0.2,0.0001,0.6251,4.7121,1.6105
gru,128,1,"[1024, 512, 128]",0.1,0.001,0.8645,5.5424,1.7074
gru,128,1,"[1024, 512, 128]",0.1,0.0001,0.5182,5.0206,1.5997
gru,128,1,"[1024, 512, 128]",0.2,0.001,0.9141,5.228,1.7883
gru,128,1,"[1024, 512, 128]",0.2,0.0001,0.6516,4.5853,1.5251
gru,128,1,"[256, 64]",0.1,0.001,0.7112,5.3625,1.647
gru,128,1,"[256, 64]",0.1,0.0001,0.6847,4.5238,1.5658
gru,128,1,"[256, 64]",0.2,0.001,0.6812,5.3232,1.7153
gru,128,1,"[256, 64]",0.2,0.0001,0.8527,5.0026,1.738
gru,128,2,"[512, 128]",0.1,0.001,0.5821,5.7027,1.6889
gru,128,2,"[512, 128]",0.1,0.0001,0.502,4.6893,1.6212
gru,128,2,"[512, 128]",0.2,0.001,0.6614,5.7678,1.8503
gru,128,2,"[512, 128]",0.2,0.0001,0.617,4.7888,1.6079
gru,128,2,"[1024, 512, 128]",0.1,0.001,0.4551,5.2197,1.6858
gru,128,2,"[1024, 512, 128]",0.1,0.0001,0.4677,5.1263,1.7519
gru,128,2,"[1024, 512, 128]",0.2,0.001,0.7017,5.8341,1.6017
gru,128,2,"[1024, 512, 128]",0.2,0.0001,0.5625,4.848,1.8151
gru,128,2,"[256, 64]",0.1,0.001,0.5354,5.2547,1.6953
gru,128,2,"[256, 64]",0.1,0.0001,0.6188,4.9018,1.7484
gru,128,2,"[256, 64]",0.2,0.001,0.7418,5.6467,1.721
gru,128,2,"[256, 64]",0.2,0.0001,0.7172,4.9645,1.6336
gru,256,1,"[512, 128]",0.1,0.001,0.506,5.7776,1.7895
gru,256,1,"[512, 128]",0.1,0.0001,0.5393,4.8086,1.5879
gru,256,1,"[512, 128]",0.2,0.001,0.6167,5.2212,1.6213
gru,256,1,"[512, 128]",0.2,0.0001,0.6558,5.1594,1.6789
gru,256,1,"[1024, 512, 128]",0.1,0.001,0.5158,5.0504,1.729
gru,256,1,"[1024, 512, 128]",0.1,0.0001,0.5235,4.9321,1.5684
gru,256,1,"[1024, 512, 128]",0.2,0.001,0.7265,5.7703,1.6297
gru,256,1,"[1024, 512, 128]",0.2,0.0001,0.5529,5.1887,1.6155
gru,256,1,"[256, 64]",0.1,0.001,0.5905,5.1275,1.772
gru,256,1,"[256, 64]",0.1,0.0001,0.5889,4.8317,1.6295
gru,256,1,"[256, 64]",0.2,0.001,0.8156,5.3008,1.6194
gru,256,1,"[256, 64]",0.2,0.0001,0.6738,5.1688,1.6525
gru,256,2,"[512, 128]",0.1,0.001,0.6598,6.1145,1.8353
gru,256,2,"[512, 128]",0.1,0.0001,0.5703,5.2834,1.6094
gru,256,2,"[512, 128]",0.2,0.001,0.525,6.022,1.7108
gru,256,2,"[512, 128]",0.2,0.0001,0.5777,4.7338,1.6186
gru,256,2,"[1024, 512, 128]",0.1,0.001,0.4978,5.6599,1.7356
gru,256,2,"[1024, 512, 128]",0.1,0.0001,0.5327,5.154,1.6137
gru,256,2,"[1024, 512, 128]",0.2,0.001,0.7022,4.7567,1.6378
gru,256,2,"[1024, 512, 128]",0.2,0.0001,0.5665,4.9812,1.6196
gru,256,2,"[256, 64]",0.1,0.001,0.5531,5.7876,1.7164
gru,256,2,"[256, 64]",0.1,0.0001,0.5821,4.9309,1.6552
gru,256,2,"[256, 64]",0.2,0.001,0.7662,5.9228,1.8835
gru,256,2,"[256, 64]",0.2,0.0001,0.6882,5.142,1.7208
